Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Years_Established,NewTargetwithLOG
15.6,0,0.087719692,13,218.5798,1997,2,0,1,27,8.391084695089841
15.7,0,0.073605395,0,249.6724,1987,0,2,1,37,8.786224779799857
9.8,1,0.015087112,10,250.1408,2004,2,1,1,20,8.295411911788463
18.2,0,0.012627478,13,140.818,1999,1,0,1,25,8.159217401744456
5.32,0,0.066132,8,101.7674,1987,0,2,1,37,7.021567240349594
10.195,0,0.04217956,13,44.2428,2007,0,1,1,17,6.5554775104249945
13.6,0,0.010008699,9,176.737,1999,1,0,1,25,8.505168382320214
16.0,0,0.057049301,4,225.9404,2004,2,1,1,20,7.208039410869861
16.85,0,0.139417654,13,147.476,1997,2,0,1,27,7.98259386606514
12.5,0,0.066132,15,127.102,2007,0,1,1,17,5.533405298879219
15.85,0,0.078874948,3,37.4506,2009,1,2,2,15,5.715726855673173
8.63,1,0.032882271,13,113.5518,1987,0,2,1,37,7.912951433009393
17.1,0,0.054612768,5,150.2392,1998,0,2,0,26,6.391174459133718
12.857645184135976,0,0.298205272,7,55.7614,1985,2,0,0,39,4.7052218345153305
15.85,0,0.11566015,1,218.3166,1998,0,2,0,26,6.076341397615987
6.78,0,0.066724663,6,187.724,1999,1,0,1,25,7.307465191007873
7.05,0,0.084966021,13,111.1912,1997,2,0,1,27,7.583472231879151
21.0,0,0.049381666,13,193.0478,1999,1,0,1,25,7.345998855010116
10.1,0,0.046848053,7,60.6878,2007,0,1,1,17,5.895853021903693
9.5,0,0.066132,14,32.89,1998,0,2,0,26,3.5052570515869337
17.6,0,0.008046275,4,173.7422,2007,0,1,1,17,8.676422632474488
20.7,0,0.042836778,4,175.8028,1997,2,0,1,27,7.373954932276706
12.857645184135976,0,0.022685222,6,161.592,1985,1,2,3,39,8.369709835505107
4.555,1,0.034328578,5,110.1544,1987,0,2,1,37,7.115093298360417
8.27,0,0.018813601,8,237.988,1997,2,0,1,27,8.8805354592711
18.35,0,0.014045832,9,222.7746,1999,1,0,1,25,7.359227125566463
12.35,1,0.158715731,10,157.2946,1999,1,0,1,25,7.363879280287964
17.0,0,0.126958147,9,125.8362,2007,0,1,1,17,7.830713334772421
12.857645184135976,1,0.076944658,6,257.133,1985,1,2,3,39,8.913773210433046
18.85,0,0.03961061,13,41.648,1987,0,2,1,37,6.632017587547328
17.35,1,0.063207198,0,89.383,2007,0,1,1,17,7.137566154212475
12.857645184135976,0,0.033809913,3,180.5976,1985,1,2,3,39,8.983225746373046
9.6,0,0.024576875,8,186.6214,2009,1,2,2,15,7.54126603679607
18.85,0,0.137410256,7,161.7578,1999,1,0,1,25,7.380616072643488
7.855,1,0.162461219,0,39.2848,2007,0,1,1,17,6.754079952823086
5.635,0,0.103481775,0,150.005,2002,0,1,1,22,7.494241098151208
12.857645184135976,0,0.064052392,13,256.1646,1985,1,2,3,39,8.918954569175042
13.1,0,0.066132,11,189.253,1997,2,0,1,27,7.325164768107274
12.857645184135976,0,0.100493148,6,123.1046,1985,2,0,0,39,4.824342663013375
11.1,0,0.059940022,6,149.1366,1999,1,0,1,25,8.350388573815394
12.857645184135976,0,0.005448005,5,102.1016,1985,1,2,3,39,8.172462628494477
20.1,0,0.077892365,8,59.3536,2007,0,1,1,17,6.823072824310038
20.5,0,0.036140297,6,120.0756,1997,2,0,1,27,7.741679712402023
6.655,0,0.016944719,6,209.2586,1987,0,2,1,37,7.991193149651327
16.7,1,0.062170334,13,60.9562,2002,0,1,1,22,6.720927745506186
20.75,1,0.083606565,5,178.8318,1997,2,0,1,27,8.19108514059248
12.65,0,0.047237246,11,112.5202,1997,2,0,1,27,6.669042910137175
9.5,0,0.085223447,7,189.2872,1999,1,0,1,25,8.70794418711972
12.857645184135976,0,0.060405784,0,234.5616,1985,1,2,3,39,8.824161051743358
7.97,0,0.021623214,12,107.6596,2009,1,2,2,15,7.5140437254473875
18.1,0,0.022380952,6,93.6094,1987,0,2,1,37,6.165516588852795
19.7,1,0.161356273,3,253.1014,2009,1,2,2,15,7.939164308137804
20.0,1,0.028118435,6,46.7744,2004,2,1,1,20,7.108578617339223
12.3,0,0.036997104,13,115.9834,1999,1,0,1,25,7.6368973985527315
15.75,0,0.166174549,4,37.4506,2002,0,1,1,22,6.968489824168541
12.857645184135976,0,0.157528118,4,142.9154,1985,2,0,0,39,4.954526211868212
20.0,1,0.028180789,6,46.8744,2002,0,1,1,22,6.808474024888885
18.85,0,0.036111038,10,58.1562,2002,0,1,1,22,7.077602689444919
12.1,0,0.066132,6,177.3002,2004,2,1,1,20,8.021158769816843
11.35,0,0.051564827,13,49.0008,1998,0,2,0,26,4.617114567005064
14.75,0,0.033024328,8,236.6906,2009,1,2,2,15,8.035919185399964
12.857645184135976,1,0.143319995,4,237.5222,1985,1,2,3,39,8.877753816309221
12.1,0,0.030188505,3,77.367,2002,0,1,1,22,6.417607716201873
16.6,0,0.135707553,7,170.6422,2004,2,1,1,20,7.229503649538161
13.6,1,0.119850541,4,234.53,2007,0,1,1,17,8.78337171081745
16.75,1,0.013711274,3,100.2674,1998,0,2,0,26,5.316819148111168
7.565,0,0.054630544,8,57.393,2004,2,1,1,20,6.600834660110641
19.6,0,0.066132,8,42.877,1999,1,0,1,25,6.475671517156635
9.195,0,0.115064263,5,58.6246,1999,1,0,1,25,6.767192365915581
7.76,0,0.059594017,13,99.67,2009,1,2,2,15,7.5483083194214835
6.675,0,0.021710275,9,34.9874,2002,0,1,1,22,5.509436108766223
19.85,0,0.045669236,6,126.402,1997,2,0,1,27,6.919699659999109
12.857645184135976,0,0.01561108,9,182.5976,1985,1,2,3,39,8.531240622629989
12.857645184135976,1,0.013431109,13,143.7154,1985,1,2,3,39,8.480886736484374
19.6,1,0.128235131,13,169.2816,1999,1,0,1,25,7.068573282725524
10.65,1,0.085482761,13,231.4668,2009,1,2,2,15,8.07873015083177
12.857645184135976,0,0.112249603,8,123.3414,1985,2,0,0,39,5.495867379560154
18.6,1,0.17174348,10,48.8376,1999,1,0,1,25,7.165737031179172
17.5,0,0.026289984,13,253.7356,2007,0,1,1,17,8.246704855867574
12.857645184135976,0,0.025527994,6,157.5262,1985,2,0,0,39,6.168309886758408
6.65,0,0.087652908,6,128.8678,2004,2,1,1,20,7.243402747003788
12.857645184135976,1,0.041049322,3,41.2454,1985,1,2,3,39,7.202104675350046
5.845,1,0.105181277,5,214.4218,1999,1,0,1,25,8.583550994157005
15.85,0,0.066132,3,96.4094,2004,2,1,1,20,7.121028033880232
6.67,1,0.12367891,13,88.9514,2002,0,1,1,22,6.786168267374587
13.85,1,0.056406129,2,231.43,1999,1,0,1,25,8.016116558103784
15.7,0,0.03067808,7,44.777,1987,0,2,1,37,6.406678645669683
10.895,0,0.065041581,6,196.3794,2007,0,1,1,17,8.045995377415636
13.5,0,0.12163321,9,161.692,1998,0,2,0,26,5.073872969500779
8.485,0,0.058121214,8,104.499,2004,2,1,1,20,7.121565812866034
12.857645184135976,0,0.039451625,13,39.548,1985,1,2,3,39,7.21393913299705
15.2,0,0.050168354,14,95.3752,2004,2,1,1,20,7.271097546836998
7.39,0,0.092782895,9,252.6066,1997,2,0,1,27,7.722703810943018
8.6,0,0.090558833,9,112.6176,2009,1,2,2,15,8.03656538897657
12.857645184135976,0,0.029084548,5,122.0098,1985,2,0,0,39,5.890343366092723
12.857645184135976,1,0.139330557,3,109.5228,1985,1,2,3,39,8.139209039000477
12.857645184135976,1,0.093202196,13,125.5704,1985,1,2,3,39,6.909117550668572
19.25,0,0.108030434,9,32.4558,1997,2,0,1,27,4.623671967551223
17.5,1,0.007551607,4,145.8102,1999,1,0,1,25,7.547255133436825
13.5,1,0.066132,4,57.8562,1999,1,0,1,25,6.566777065678927
16.7,1,0.117026714,0,189.2214,1998,0,2,0,26,5.238680943802025
11.35,1,0.043122189,6,197.9742,1987,0,2,1,37,6.903115531983574
12.857645184135976,1,0.012974937,6,115.9834,1985,1,2,3,39,8.004622178678048
8.575,1,0.072252888,4,196.5794,2007,0,1,1,17,8.569243521180184
12.6,1,0.074221559,4,255.9356,2009,1,2,2,15,8.483093633931803
19.7,0,0.078034976,0,178.066,1999,1,0,1,25,8.282698458515478
17.75,1,0.156831826,4,241.0538,1997,2,0,1,27,7.091549916925769
19.0,1,0.097510482,5,48.1718,2002,0,1,1,22,6.563964124302313
14.85,1,0.009958941,13,157.963,2002,0,1,1,22,7.943191318199111
5.88,0,0.066132,5,154.2998,1997,2,0,1,27,7.600601114142118
11.5,1,0.042173667,5,194.682,2009,1,2,2,15,7.748021618927307
14.85,1,0.03525037,6,160.9578,2004,2,1,1,20,7.717088309264701
6.155,1,0.158441218,10,213.756,1998,0,2,0,26,6.7478494030724505
15.85,1,0.007145063,13,41.048,2004,2,1,1,20,6.172485258168888
10.1,0,0.027041859,10,77.567,1987,0,2,1,37,5.724460535641928
14.3,1,0.065153295,6,88.4856,1987,0,2,1,37,7.24862469098494
12.857645184135976,0,0.024407061,1,102.3332,1985,1,2,3,39,7.5746256277388575
10.0,0,0.025867353,3,264.6226,1999,1,0,1,25,8.467542084742142
10.5,0,0.011305479,9,235.5248,1999,1,0,1,25,8.463897050564809
12.857645184135976,0,0.071498575,7,37.7506,1985,1,2,3,39,6.680807751716761
6.425,0,0.010454459,3,115.6808,1999,1,0,1,25,7.24862469098494
12.65,1,0.127283051,5,191.7846,1998,0,2,0,26,5.945863442478354
12.0,0,0.066132,8,262.3278,2007,0,1,1,17,7.353701075372208
13.0,0,0.041909345,9,255.0014,2002,0,1,1,22,8.676763251268584
13.3,0,0.035607579,0,119.9124,1998,0,2,0,26,4.775017596450873
6.135,0,0.132183029,14,115.086,1998,0,2,0,26,6.11532684432894
20.35,0,0.054011943,13,116.5466,1987,0,2,1,37,7.541972500972398
19.2,1,0.085296625,3,153.4314,2009,1,2,2,15,7.529179149512489
12.857645184135976,0,0.037345714,6,106.5306,1985,2,0,0,39,4.649479851507095
18.7,0,0.014675574,14,50.8324,2007,0,1,1,17,6.840314630744544
12.857645184135976,1,0.035334201,13,115.3518,1985,1,2,3,39,7.730629876215438
19.75,0,0.033942546,13,213.5902,1999,1,0,1,25,8.402947586667056
14.75,0,0.032862976,8,238.6906,1987,0,2,1,37,8.361341585834591
12.857645184135976,1,0.014497036,4,150.8708,1985,2,0,0,39,5.013769045431073
14.7,0,0.02090277,7,144.5128,1987,0,2,1,37,8.104006669772103
10.0,0,0.073678663,8,120.944,2009,1,2,2,15,7.619404241105214
18.75,0,0.034307348,9,215.2218,1997,2,0,1,27,8.45571762264712
8.77,1,0.046962004,6,173.8422,2009,1,2,2,15,8.145794381412315
6.305,1,0.12301331,13,93.2436,1987,0,2,1,37,7.640103557118364
17.35,1,0.062839798,0,90.883,2004,2,1,1,20,7.442947803763658
13.0,1,0.083498083,3,199.4426,2004,2,1,1,20,6.385578473629597
12.857645184135976,1,0.061955439,5,145.1418,1985,1,2,3,39,8.425383952161686
16.1,1,0.047801883,5,127.4362,1997,2,0,1,27,7.725352819114595
6.215,1,0.083056555,0,224.4062,1998,0,2,0,26,5.419234153539238
15.6,0,0.037680711,13,123.7704,2004,2,1,1,20,8.048551833856937
9.3,0,0.11184963,1,64.6826,2007,0,1,1,17,6.65285167445017
12.3,1,0.066132,13,57.3562,1987,0,2,1,37,5.180482704559037
7.0,0,0.151405587,3,107.728,1997,2,0,1,27,7.612846840559055
10.0,0,0.038653608,6,245.4144,1987,0,2,1,37,8.868612814314192
12.857645184135976,1,0.00978492,15,225.9062,1985,2,0,0,39,6.112381334099183
14.0,0,0.050371508,6,214.7192,1998,0,2,0,26,6.760271923071008
10.1,0,0.056077574,9,117.8492,1997,2,0,1,27,7.391346674988575
17.5,1,0.007555176,4,145.9102,2002,0,1,1,22,7.690355977077498
12.857645184135976,1,0.066765523,6,107.1964,1985,2,0,0,39,6.0421234403056445
17.35,0,0.066132,0,101.9016,1987,0,2,1,37,7.507486324901229
16.2,1,0.128682722,5,178.437,2002,0,1,1,22,6.964723341373065
13.0,0,0.154487495,3,77.2986,2007,0,1,1,17,7.127996703196325
12.857645184135976,1,0.066132,0,38.1848,1985,2,0,0,39,3.618585736893937
10.0,1,0.063162608,5,228.6668,2004,2,1,1,20,8.147723022318722
6.85,0,0.03830192,5,261.2594,1998,0,2,0,26,6.95333801914794
12.857645184135976,1,0.192650072,5,37.4506,1985,2,0,0,39,3.6362853139933375
18.35,0,0.015328106,7,107.5938,1999,1,0,1,25,7.507851755199466
12.857645184135976,0,0.32111501,6,100.77,1985,2,0,0,39,5.297016520814989
16.1,1,0.024987903,6,97.341,1999,1,0,1,25,7.134917146040898
12.857645184135976,0,0.121765124,8,264.1884,1985,2,0,0,39,5.579686051443225
17.5,0,0.026195131,13,252.6356,2002,0,1,1,22,7.841239747759409
11.3,0,0.047791878,9,180.766,1999,1,0,1,25,8.523860515332366
18.85,1,0.067940657,4,119.044,2004,2,1,1,20,7.088775990043044
20.7,0,0.170152831,3,182.6266,2002,0,1,1,22,7.856308881961385
12.857645184135976,1,0.076434542,6,155.8946,1985,2,0,0,39,6.159906475962028
13.1,1,0.044281996,6,178.5318,2002,0,1,1,22,8.028566211094704
13.35,0,0.139669224,5,147.6392,1999,1,0,1,25,7.569829455475364
15.85,1,0.121531501,0,59.222,1987,0,2,1,37,6.395628809483099
9.6,0,0.051571772,13,258.462,2002,0,1,1,22,8.449752543178644
19.1,0,0.092060694,11,183.7608,1999,1,0,1,25,8.471731449897419
12.857645184135976,0,0.126924095,5,87.2224,1985,1,2,3,39,8.158836376782713
13.1,0,0.075515154,4,167.2158,1987,0,2,1,37,8.009058743186737
16.25,0,0.057629899,6,123.9046,2009,1,2,2,15,7.021567240349594
18.6,0,0.152366659,2,98.5358,2002,0,1,1,22,7.175463240435248
5.485,0,0.042743728,8,166.2842,2004,2,1,1,20,7.595593592411495
8.3,0,0.03555434,6,37.4506,2007,0,1,1,17,6.680807751716761
19.25,1,0.034753686,3,141.5496,1999,1,0,1,25,7.588877650446059
13.5,1,0.017932223,13,78.796,2009,1,2,2,15,5.479338077608944
12.857645184135976,0,0.072317217,9,230.2668,1985,1,2,3,39,8.995020882705925
12.857645184135976,0,0.153741385,4,182.6292,1985,2,0,0,39,5.206362152546858
8.05,1,0.078522357,6,257.1646,1999,1,0,1,25,8.729712569536515
13.8,1,0.014762987,3,90.7172,2002,0,1,1,22,7.199124047211909
18.7,0,0.10527024,5,122.9072,2007,0,1,1,17,6.194464164887664
13.65,1,0.080765853,5,262.8936,1999,1,0,1,25,8.508934865115691
12.857645184135976,1,0.030476541,13,252.2724,1985,1,2,3,39,8.523860515332366
12.857645184135976,1,0.037340835,5,163.1526,1985,1,2,3,39,8.28067621313471
18.85,0,0.090850115,7,126.6336,2004,2,1,1,20,7.047953995522788
10.1,0,0.054853377,8,198.6084,2009,1,2,2,15,7.688222805462563
9.3,0,0.016054884,4,250.2092,2002,0,1,1,22,8.695543673921264
19.1,0,0.177270016,9,174.0422,1997,2,0,1,27,7.452647200852371
12.857645184135976,0,0.207783483,9,262.291,1985,2,0,0,39,6.265266991619854
8.895,0,0.105323859,4,39.1138,2002,0,1,1,22,6.412158111434309
10.3,0,0.027426689,6,97.3042,2009,1,2,2,15,6.54309050115956
17.2,1,0.056941603,6,222.5088,1987,0,2,1,37,8.588399036469937
7.905,0,0.066132,5,109.1254,2007,0,1,1,17,7.39503444806776
18.5,0,0.056816465,11,132.1284,1998,0,2,0,26,5.574648257413268
18.2,0,0.097865088,9,221.8456,1998,0,2,0,26,6.784663376195167
12.857645184135976,1,0.065860323,15,81.896,1985,1,2,3,39,7.425248226664256
13.65,0,0.036033639,13,183.7924,2002,0,1,1,22,7.8599124894646835
12.857645184135976,1,0.26639671,5,215.6218,1985,2,0,0,39,6.463287457956913
17.85,0,0.024961677,14,153.1998,2007,0,1,1,17,8.126694210038897
17.6,0,0.056379439,5,42.7454,1999,1,0,1,25,5.682278921605634
17.35,0,0.167243769,9,176.2712,1987,0,2,1,37,8.002396493361319
9.695,0,0.11411658,8,158.8604,1999,1,0,1,25,8.397709230005466
15.15,1,0.012288171,13,129.9284,2002,0,1,1,22,7.714714420909539
11.6,1,0.078863888,5,83.2276,1987,0,2,1,37,7.341694070058485
8.355,0,0.187939003,3,146.9418,2002,0,1,1,22,6.937306896731854
21.25,0,0.009998763,10,182.3608,1997,2,0,1,27,6.312247200544047
12.857645184135976,0,0.058092551,13,172.0422,1985,2,0,0,39,6.248674396526435
12.35,1,0.311090379,0,79.2328,1998,0,2,0,26,5.039971417825098
17.5,0,0.013714183,5,259.2304,2007,0,1,1,17,7.952134658580431
8.89,0,0.005496816,5,102.8016,2009,1,2,2,15,6.919699659999109
20.35,1,0.031102571,4,257.2672,2007,0,1,1,17,7.62331814042635
8.51,0,0.016135764,9,195.6478,1999,1,0,1,25,8.357599766688596
12.857645184135976,1,0.076387367,13,112.1518,1985,1,2,3,39,8.261258127277609
12.857645184135976,0,0.061470858,9,48.6034,1985,2,0,0,39,4.982305775975289
13.1,0,0.020988798,4,117.7782,2007,0,1,1,17,7.0832049449935885
7.81,0,0.067592098,14,246.0486,2002,0,1,1,22,8.865891724199832
12.857645184135976,0,0.060237465,7,115.9834,1985,2,0,0,39,5.845137929324676
7.85,0,0.163310805,7,143.5444,2002,0,1,1,22,8.196604933816078
7.59,1,0.145335007,6,173.108,2002,0,1,1,22,7.638822326962315
7.72,0,0.121497742,6,119.744,2004,2,1,1,20,8.118395407224202
7.52,1,0.044202545,0,182.995,2009,1,2,2,15,8.388058974173305
12.15,0,0.066132,8,39.1506,2007,0,1,1,17,7.299846960122984
17.75,0,0.030497325,4,256.9672,2002,0,1,1,22,7.335636067974569
8.905,0,0.143129124,5,58.8878,1997,2,0,1,27,7.048532531842078
20.85,0,0.097618234,15,223.9746,1997,2,0,1,27,6.79961133763104
6.4,0,0.141860161,5,41.0796,1998,0,2,0,26,3.720368431203879
12.857645184135976,0,0.073879939,9,94.0462,1985,1,2,3,39,7.5234402528434705
9.195,1,0.064143995,5,85.9566,2002,0,1,1,22,7.43315340617137
16.0,0,0.041177505,13,142.3496,2007,0,1,1,17,8.085314536759949
14.65,0,0.066132,9,161.5552,1998,0,2,0,26,5.783549452011934
8.5,0,0.098283459,3,51.3324,2009,1,2,2,15,6.840314630744544
7.05,1,0.05587277,1,222.1088,2007,0,1,1,17,8.300716964018157
12.857645184135976,1,0.016979326,0,177.037,1985,1,2,3,39,8.11740285131145
14.1,0,0.08849163,4,231.1668,2007,0,1,1,17,8.936180382682991
12.857645184135976,0,0.168780127,14,197.8768,1985,2,0,0,39,5.283593500482848
12.35,0,0.041973712,8,35.7216,2007,0,1,1,17,6.252527965842424
12.0,0,0.033974436,3,181.8976,1997,2,0,1,27,8.417911937322986
20.5,0,0.066132,6,90.883,1998,0,2,0,26,4.498508824597217
12.857645184135976,1,0.033597374,10,197.2426,1985,1,2,3,39,8.059554907201269
12.5,1,0.066132,6,80.8592,1998,0,2,0,26,4.413515611763825
20.7,0,0.04307908,4,177.8028,2007,0,1,1,17,7.122640503995799
12.857645184135976,1,0.102949031,6,225.272,1985,1,2,3,39,8.466702101492418
9.695,0,0.114583922,8,156.4604,2007,0,1,1,17,7.838093442070043
5.82,1,0.077304459,6,257.633,2004,2,1,1,20,8.436849138342737
12.5,0,0.020782036,1,198.3742,2009,1,2,2,15,7.858626977011011
12.857645184135976,0,0.044000492,8,148.2734,1985,2,0,0,39,5.693552998178852
7.42,0,0.020374875,13,248.0092,1987,0,2,1,37,7.12692775600742
12.857645184135976,1,0.018472714,13,109.9544,1985,1,2,3,39,8.567345627272106
15.35,0,0.073269336,14,92.112,2004,2,1,1,20,7.019783118556092
12.35,1,0.072334667,4,49.1692,1987,0,2,1,37,6.7876708972591215
7.72,1,0.074731477,1,77.5986,1997,2,0,1,27,7.574283805824744
13.0,0,0.154244343,3,77.9986,2009,1,2,2,15,7.063458182058754
10.5,1,0.013572808,13,143.2154,2007,0,1,1,17,7.352421484666583
14.1,0,0.06682033,13,198.9084,1987,0,2,1,37,8.468381363012137
10.0,0,0.099804623,13,113.7544,1999,1,0,1,25,8.084493855548521
10.3,0,0.078678276,0,177.037,1987,0,2,1,37,8.217486309868432
12.857645184135976,0,0.037829469,8,151.0708,1985,2,0,0,39,6.112381334099183
11.1,0,0.033176087,9,120.1124,2002,0,1,1,22,7.547606318690653
8.895,0,0.072545601,2,176.237,2002,0,1,1,22,7.475548965139056
14.3,1,0.034551415,0,98.1726,2009,1,2,2,15,6.529576781992837
5.365,1,0.14024028,12,171.0764,1997,2,0,1,27,8.090632610246846
15.6,1,0.066132,13,170.6132,1987,0,2,1,37,8.79412995930697
17.85,0,0.0112259,13,211.956,1987,0,2,1,37,8.406077479675982
8.195,0,0.031467128,0,91.8462,2002,0,1,1,22,7.74658380415768
8.05,1,0.164679597,4,112.1518,1997,2,0,1,27,7.132792875459818
12.857645184135976,0,0.016956266,8,109.3228,1985,1,2,3,39,7.796264287873647
18.35,0,0.088908547,9,192.8504,1987,0,2,1,37,7.964244727396943
11.6,1,0.009802791,13,223.0404,2009,1,2,2,15,7.025717854075907
18.7,0,0.044024163,0,125.902,1998,0,2,0,26,4.840258118319274
20.0,0,0.08131178,11,37.819,2004,2,1,1,20,6.085473881179259
12.6,1,0.031663212,0,173.2764,2009,1,2,2,15,6.93795310030846
13.6,1,0.049547993,5,108.6912,1987,0,2,1,37,7.784142927341302
8.365,0,0.071992202,7,38.3506,2002,0,1,1,22,6.89438185201482
16.6,0,0.103195401,6,117.8466,2002,0,1,1,22,6.848825320412453
5.175,0,0.037398953,3,84.2224,1997,2,0,1,27,6.7478494030724505
14.65,0,0.083359391,9,161.9552,1997,2,0,1,27,8.457698101438464
20.2,0,0.066200667,9,61.451,2009,1,2,2,15,4.840258118319274
6.965,0,0.047784475,9,158.8604,1998,0,2,0,26,5.758651900390207
12.857645184135976,0,0.017659068,3,175.9686,1985,1,2,3,39,8.676990266025518
17.75,1,0.029648306,6,142.4838,2004,2,1,1,20,7.1423167569710735
14.85,0,0.061102235,9,253.2698,2002,0,1,1,22,7.733257998621708
7.27,1,0.020898691,3,92.2488,2007,0,1,1,17,6.703113509231059
14.15,1,0.024503972,6,195.111,2009,1,2,2,15,6.889647314932708
14.15,1,0.024454052,6,197.211,2002,0,1,1,22,8.224648381665048
18.6,0,0.039517121,5,243.6802,2007,0,1,1,17,8.68208452054726
7.52,0,0.055081623,6,128.8994,1987,0,2,1,37,7.628512957303454
7.02,0,0.049942926,4,82.425,1999,1,0,1,25,7.254761127517304
8.51,1,0.078526225,13,173.5422,1999,1,0,1,25,8.5173579378448
7.93,0,0.071076672,8,44.9086,1987,0,2,1,37,6.688298423445918
13.15,0,0.044011225,13,181.295,2007,0,1,1,17,8.301047597183675
8.655,1,0.088121336,13,119.7756,1987,0,2,1,37,7.630454077291799
7.5,0,0.050750977,3,122.2072,1997,2,0,1,27,7.580758526007554
9.195,0,0.101294945,0,46.2744,1997,2,0,1,27,6.99079558168284
8.51,0,0.052239735,9,141.947,2007,0,1,1,17,7.602929403901709
7.42,0,0.020423549,13,249.0092,1999,1,0,1,25,8.002396493361319
16.75,0,0.066132,6,255.3988,1997,2,0,1,27,8.439443173519782
5.175,0,0.030479118,8,33.2874,2009,1,2,2,15,6.453897717607074
14.0,1,0.029722659,4,143.4786,1997,2,0,1,27,7.371026672497617
18.35,0,0.041634206,7,188.1872,1987,0,2,1,37,8.237940557873985
17.5,0,0.01558456,6,185.1266,1999,1,0,1,25,8.475348090367609
17.1,0,0.129140919,6,109.4886,2007,0,1,1,17,7.419278059677753
17.6,0,0.05661033,5,41.7454,2007,0,1,1,17,5.345806684984421
6.715,1,0.121485195,0,40.2454,1987,0,2,1,37,6.375426102165579
19.35,0,0.033275634,10,173.8738,2007,0,1,1,17,7.796811783096739
12.85,0,0.098910759,5,37.6164,1987,0,2,1,37,5.733118598385043
13.5,1,0.159968994,6,147.6102,1999,1,0,1,25,7.380201048773658
17.25,0,0.066132,5,37.5822,1998,0,2,0,26,5.280209402498607
5.15,1,0.061272194,10,125.6388,1999,1,0,1,25,7.458038049487247
9.3,0,0.11178154,5,182.3292,1998,0,2,0,26,5.206362152546858
9.195,1,0.130657442,10,106.4596,1998,0,2,0,26,5.373977561951117
4.92,0,0.046026479,0,196.5084,1999,1,0,1,25,8.234766511830632
7.325,0,0.156307983,6,92.2146,1998,0,2,0,26,4.513214971986913
12.65,0,0.035482562,0,231.401,2002,0,1,1,22,7.834673735988518
11.15,1,0.105220024,0,102.7648,1987,0,2,1,37,7.040985326206696
4.785,0,0.09297084,1,122.0098,2009,1,2,2,15,7.624944421480829
20.25,1,0.014790559,4,193.6162,2004,2,1,1,20,8.25539300782521
12.857645184135976,1,0.084354713,3,215.5218,1985,1,2,3,39,8.500169385217953
20.7,1,0.047491371,4,213.9876,1997,2,0,1,27,7.670370684697241
12.857645184135976,1,0.075215349,6,108.4254,1985,2,0,0,39,5.380131427525496
9.0,1,0.05060313,3,150.9024,2002,0,1,1,22,8.389875505099702
